SLC,molWeight,molLogP,molLogS,molPSA,molArea,nof_Atoms,nof_Chirals,nof_HBA,nof_HBD,molCharge_total,nof_Rings,Complexity,nof_posCharge,nof_negCharge,a_heavy,C_R1,C_R0,C_sp3,posCharge/Volume,negCharge/Volume,nof_RotB,nof_Fragments,nof_NH2,nof_COOH,nof_OH
OAT3,175.096,-2.28789,-0.288822,94.931,200.016,25,1,6,6,0,0,171,1,-1,12,0,6,4,0.005948345,-0.005948345,6,25,2,1,0
OAT3,258.183,4.28918,-3.43356,57.2776,340.381,44,0,6,2,-2,0,202,0,-2,18,0,14,12,0,-0.007075063,13,44,0,2,0
OAT3,188.141,2.75316,-2.747,45.0702,254.108,33,1,4,2,-1,0,134,0,-1,13,0,10,9,0,-0.004901528,8,33,0,1,1
OAT3,392.293,4.86794,-4.95279,60.2802,451.064,68,10,5,3,-1,4,605,0,-1,28,11,7,23,0,-0.002271948,4,68,0,1,2
OAT3,161.048,1.78157,-2.77655,38.5173,167.194,19,0,3,2,-1,2,193,0,-1,12,0,1,0,0,-0.006759406,1,19,0,1,0
OAT3,140.059,-0.174785,-0.906615,50.4158,156.358,18,0,4,2,-1,1,127,0,-1,10,0,3,2,0,-0.007696452,3,18,0,1,0
OAT3,246.02,0.0656623,-1.65673,79.8426,236.392,26,0,9,2,-2,1,330,0,-2,16,0,3,2,0,-0.010371991,5,26,0,1,0
OAT3,406.272,3.76526,-4.20034,73.5281,444.436,67,10,7,3,-1,4,676,0,-1,29,11,7,22,0,-0.002209154,4,67,0,1,2
OAT3,408.288,3.83893,-4.35683,75.896,452.446,69,11,6,4,-1,4,637,0,-1,29,11,7,23,0,-0.002228,4,69,0,1,3
OAT3,392.293,4.88006,-4.72804,60.2802,442.34,68,10,5,3,-1,4,605,0,-1,28,11,7,23,0,-0.002259657,4,68,0,1,2
OAT3,148.074,-0.458176,1.16662,61.8782,173.737,22,1,5,3,-1,0,123,0,-1,10,0,6,5,0,-0.006580636,4,22,0,1,2
OAT3,157.11,0.22945,0.791741,28.2592,198.8,26,1,4,0,0,1,160,1,-1,11,5,3,7,0.005700344,-0.005700344,1,26,0,1,0
OAT3,194.043,-3.01177,0.403408,100.936,180.784,23,5,8,5,-1,1,205,0,-1,13,5,1,5,0,-0.006798559,1,23,0,1,4
OAT3,246.1,1.09576,-2.4675,62.7318,265.585,32,1,5,3,-1,2,332,0,-1,18,0,5,3,0,-0.004166667,5,32,0,1,0
OAT3,408.288,3.94511,-4.88481,75.6833,461.282,69,11,6,4,-1,4,637,0,-1,29,11,7,23,0,-0.002250706,4,69,0,1,3
OAT3,174.1,-1.90365,0.131694,74.1324,211.582,26,1,6,4,0,0,170,1,-1,12,0,7,5,0.005720562,-0.005720562,6,26,1,1,0
OAT3,187.063,2.66516,-3.06626,38.4666,202.221,23,0,3,2,-1,2,250,0,-1,14,0,3,0,0,-0.00522016,2,23,0,1,0
OAT3,261.121,-0.770947,1.38878,76.4709,295.934,37,1,10,1,-1,0,315,1,-2,18,0,11,8,0.003810816,-0.007621632,9,37,0,2,0
OAT3,129.079,-0.325057,0.326269,32.5914,158.765,20,1,4,1,0,1,124,1,-1,9,4,2,5,0.007405981,-0.007405981,1,20,0,1,0
OAT3,104.011,-0.962452,0.745966,57.2776,106.511,11,0,6,2,-3,0,83.1,0,-3,7,0,3,1,0,-0.035175225,2,11,0,2,0
OAT3,116.084,1.83515,-1.44087,28.8938,166.159,20,0,3,1,-1,0,68.9,0,-1,8,0,6,5,0,-0.007882581,4,20,0,1,0
OAT3,392.293,4.86794,-4.95279,60.2802,451.064,68,10,5,3,-1,4,605,0,-1,28,11,7,23,0,-0.002271948,4,68,0,1,2
OAT3,174.089,1.39755,-0.900814,57.2776,212.172,26,0,6,2,-2,0,135,0,-2,12,0,8,6,0,-0.011412659,7,26,0,2,0
OAT3,228.209,5.69066,-4.81786,28.8938,337.103,44,0,3,1,-1,0,155,0,-1,16,0,14,13,0,-0.003702154,12,44,0,1,0
OAT3,244.07,-2.73949,-1.0644,105.874,225.312,29,4,8,5,0,2,382,0,0,17,8,1,5,0,0,2,29,0,0,3
OAT3,200.977,-3.22651,-0.480946,91.6663,173.445,18,1,10,4,-1,0,229,1,-2,11,0,3,2,0.007458067,-0.014916134,4,18,1,1,0
OAT3,196.058,-3.77158,-0.125495,109.24,197.003,25,4,8,6,-1,0,170,0,-1,13,0,6,5,0,-0.006412558,5,25,0,1,5
OAT3,128.059,-2.10407,-0.400361,58.9512,143.75,17,1,5,3,0,1,155,0,0,9,5,0,3,0,0,0,17,1,0,0
OAT3,174.1,-1.36345,0.0726721,74.288,207.016,26,1,6,4,0,0,170,1,-1,12,0,7,5,0.005707763,-0.005707763,6,26,1,1,0
OAT3,138.043,0.442696,-1.45817,50.4158,144.595,16,0,4,2,-1,1,156,0,-1,10,0,3,0,0,-0.007295755,2,16,0,1,0
OAT3,173.105,0.744114,-1.29562,52.8542,219.072,27,2,5,2,-1,0,179,0,-1,12,0,8,6,0,-0.005568208,5,27,0,1,0
OAT3,321.099,-3.54785,-1.49039,126.877,344.151,40,2,12,6,-1,0,403,1,-2,21,0,11,7,0.003362656,-0.006725311,12,40,1,2,0
OAT3,210.074,-4.29459,0.245926,111.194,218.743,28,4,8,6,0,0,183,0,0,14,0,7,6,0,0,6,28,0,0,6
OAT3,330.256,7.40173,-5.52941,28.8938,456.797,58,0,3,1,-1,0,425,0,-1,24,0,22,11,0,-0.002263939,15,58,0,1,0
OAT3,515.292,1.71384,-4.2386,114.885,548.926,80,11,10,5,-1,4,891,0,-1,35,11,9,25,0,-0.001866048,8,80,0,0,3
OAT3,499.297,2.74285,-4.85051,99.2687,543.115,79,10,9,4,-1,4,858,0,-1,34,11,9,25,0,-0.001895379,8,79,0,0,2
OAT3,515.292,1.82002,-4.76657,114.672,557.762,80,11,10,5,-1,4,891,0,-1,35,11,9,25,0,-0.001881949,8,80,0,0,3
OAT3,499.297,2.74285,-4.83455,99.2687,547.543,79,10,9,4,-1,4,858,0,-1,34,11,9,25,0,-0.001896777,8,79,0,0,2
OAT3,499.297,2.75497,-4.6098,99.2687,538.82,79,10,9,4,-1,4,858,0,-1,34,11,9,25,0,-0.001888203,8,79,0,0,2
OAT3,499.297,2.74285,-4.83455,99.2687,547.543,79,10,9,4,-1,4,858,0,-1,34,11,9,25,0,-0.001896777,8,79,0,0,2
OAT3,309.106,-3.63953,0.648266,141.996,309.787,40,6,11,7,-1,1,403,0,-1,21,5,6,9,0,-0.003581072,6,40,0,1,5
OAT3,456.105,-3.45149,-2.72145,156.172,420.47,52,3,14,6,0,3,844,0,0,31,2,7,7,0,0,7,52,0,0,3
